"No.","Time","Source","Destination","Protocol","Length","Info"
"1119","320.423245","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1120","320.993451","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1121","321.441227","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1122","321.993435","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1123","322.426132","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1124","322.848896","192.168.230.103","192.168.196.51","DNS","79","Standard query 0x7693 A static.mendeley.com"
"1125","322.848896","192.168.230.103","192.168.196.51","DNS","76","Standard query 0xbe9d A www.mendeley.com"
"1126","322.875978","192.168.196.51","192.168.230.103","DNS","163","Standard query response 0x7693 A static.mendeley.com CNAME static.mendeley.com.cdn.cloudflare.net A 104.17.241.194 A 104.17.240.194"
"1127","322.877682","192.168.196.51","192.168.230.103","DNS","157","Standard query response 0xbe9d A www.mendeley.com CNAME www.mendeley.com.cdn.cloudflare.net A 104.17.240.194 A 104.17.241.194"
"1128","322.993813","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1129","323.493412","Cisco_eb:9c:98","Cisco_eb:9c:98","LOOP","60","Reply"
"1130","323.993627","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1131","324.428948","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1132","324.993261","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1133","325.993545","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1134","326.103404","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1135","326.428282","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1136","326.993269","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1137","327.121206","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1138","327.999029","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1139","328.161186","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1140","328.431176","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1141","328.993146","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1142","329.201318","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1143","329.993132","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1144","330.104243","192.168.230.103","192.168.196.51","DNS","75","Standard query 0x93db A id.elsevier.com"
"1145","330.241125","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1146","330.271098","192.168.196.51","192.168.230.103","DNS","251","Standard query response 0x93db A id.elsevier.com CNAME id.elsevier-ae.com CNAME prod-use-id.elsevier-ae.com CNAME prod-ac-alb-ar0czwee3891-458615059.us-east-1.elb.amazonaws.com A 52.22.96.220 A 52.3.31.41 A 54.84.223.184"
"1147","330.430505","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1148","330.993863","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1149","331.281099","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
